bay,humidity,water temp,ph,ec,temp,N,P,K,Ca,Mg,S,Fe,Mn,B,Cu,Zn,Mo,Na,Al
201,60.76,23.75,6.05,2.59,23.49,5.04,1.03,6.59,1.74,0.85,3731,75.43,315.27,58.38,35.69,288.76,1.64,166.47,1.92
202,60.34,24.11,6.17,2.67,23.51,5.55,1.22,5.72,2.39,1.04,3295,58.34,340.85,62.32,26.25,213.76,2.2,80.57,2.27
203,60.91,24.2,6.16,2.51,24.09,6.16,1.04,6.48,2.46,0.86,3582,64.83,392.44,53.54,37.34,353.12,1.54,271.96,2.84
204,60.7,24.78,6.27,2.49,24.27,5.7,0.31,5.84,0.98,0.39,2326,51.75,25.26,39.31,4.45,30.81,0,0,9.49
205,57.68,24.55,6.13,2.43,24.77,5.26,1.01,5.76,2.78,0.73,3832,68.03,306.97,51.49,30.52,240.84,1.59,152.33,0.66
206,61.07,25.12,6.25,2.39,24.41,5.64,1.04,6.48,1.99,0.82,3435,58.68,364.14,60.16,26.35,187.6,1.31,258.1,0
207,60.84,24.81,6.23,2.36,24.61,5.81,0.37,6.05,0.99,0.42,2940,44.49,28.97,46.64,3.86,25.3,0,3.41,8.72
208,62.29,25.04,6.24,2.5,24.75,5.77,1,6.07,2.14,0.82,3550,61.93,328.14,55.64,27.71,240.3,1.45,86.35,2.63
209,61.43,24.58,6.31,2.07,24.44,5.88,0.88,4.96,2.99,0.3,3406,29.49,175.63,42.66,38.25,349.18,3.61,274.14,2.2
210,57.06,24.78,6.24,2.61,24.26,5.69,0.97,5.52,2.5,0.91,3780,88.69,301.82,54.6,32.09,200.32,1.73,163.42,0.5
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
