bay,humidity,water temp,ec,ph,temp,PAR_DLI,PAR_Illuminance,PAR_PPFD (400 - 700 nm),PAR_PPFD B (400 - 499 nm),PAR_PPFD FR (701 - 780 nm),PAR_PPFD G (500 - 599 nm),PAR_PPFD R (600 - 700 nm),PAR_PPFD UV (380 - 399 nm),PAR_R/B,PAR_R/FR,PAR_YPFD (380 - 780 nm),PAR_YPFD (400 - 700 nm),PAR_YPFD B (400 - 499 nm),PAR_YPFD FR (701 - 780 nm),PAR_YPFD G (500 - 599 nm),PAR_YPFD R (600 - 700 nm),PAR_YPFD UV (380 - 399 nm),N,P,K,Ca,Mg,S,Fe,Mn,B,Cu,Zn,Mo,Na,Al
201,56.75,23.84,2.77,6.03,22.41,31.05,6328.44,359.45,100.73,6.72,20.58,238.15,0.26,2.37,35.43,313.4,311.8,73.67,1.45,18.17,219.97,0.15,5.04,1.03,6.59,1.74,0.85,3731,75.43,315.27,58.38,35.69,288.76,1.64,166.47,1.92
202,58.02,24.06,2.82,6.27,22.54,26.89,5343.22,311.32,85.38,6.13,17.89,208.05,0.23,2.43,33.9,271.28,269.81,62.48,1.32,15.8,191.54,0.13,5.55,1.22,5.72,2.39,1.04,3295,58.34,340.85,62.32,26.25,213.76,2.2,80.57,2.27
203,61.08,24,2.65,6.25,22.41,32.52,6488.11,376.46,103.36,7.19,21.38,251.73,0.28,2.44,35.22,328.14,326.38,75.62,1.58,18.89,231.89,0.17,6.16,1.04,6.48,2.46,0.86,3582,64.83,392.44,53.54,37.34,353.12,1.54,271.96,2.84
204,58.94,24.89,2.56,6.46,22.93,31.43,6424.83,363.85,102.34,6.69,21.13,240.4,0.27,2.35,35.85,317.15,315.53,74.87,1.44,18.67,222.02,0.16,5.7,0.31,5.84,0.98,0.39,2326,51.75,25.26,39.31,4.45,30.81,0,0,9.49
205,60.1,24.36,2.44,6.2,22.55,36.51,7382.94,422.66,119.22,7.97,24.51,278.93,0.31,2.36,35.24,367.77,365.81,87.25,1.78,21.66,256.92,0.18,5.26,1.01,5.76,2.78,0.73,3832,68.03,306.97,51.49,30.52,240.84,1.59,152.33,0.66
206,63.13,25.02,2.36,6.38,22.67,32.57,6622.94,377.04,108.44,6.74,21.58,247.04,0.28,2.28,36.67,328.13,326.47,79.35,1.48,19.06,228.08,0.16,5.64,1.04,6.48,1.99,0.82,3435,58.68,364.14,60.16,26.35,187.6,1.31,258.1,0
207,65.48,24.6,2.36,6.38,22.45,34.03,6877,393.95,110.39,7.1,22.28,261.3,0.28,2.38,36.87,343.31,341.57,80.76,1.57,19.68,241.15,0.16,5.81,0.37,6.05,0.99,0.42,2940,44.49,28.97,46.64,3.86,25.3,0,3.41,8.72
208,68.17,24.95,2.61,6.41,22.19,29.57,5992.88,342.26,97.78,6.04,19.65,224.85,0.25,2.3,37.17,297.88,296.38,71.54,1.34,17.36,207.5,0.15,5.77,1,6.07,2.14,0.82,3550,61.93,328.14,55.64,27.71,240.3,1.45,86.35,2.63
209,61.41,24.4,1.92,6.48,22.48,33.67,6931,389.79,111.5,6.68,22.55,255.75,0.26,2.29,38.27,339.68,338.04,81.63,1.48,19.94,236.5,0.15,5.88,0.88,4.96,2.99,0.3,3406,29.49,175.63,42.66,38.25,349.18,3.61,274.14,2.2
210,55.38,24.8,2.65,6.39,22.5,29.41,5860.27,340.4,95.16,6.09,19.12,226.14,0.24,2.37,37.12,296.66,295.16,69.66,1.35,16.89,208.62,0.14,5.69,0.97,5.52,2.5,0.91,3780,88.69,301.82,54.6,32.09,200.32,1.73,163.42,0.5
